case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
TV-STUDY-000001,Participant Reconsented,2023-01-04T03:12:00Z,data_query_v,TV-S-000001-11:V001,USR-029,"[""TV-STUDY-000001"", ""TV-LABORDER-000001"", ""TV-PROTOCOL-000001""]"
TV-STUDY-000003,Participant Reconsented,2023-01-04T09:14:00Z,data_query_v,TV-S-000003-11:V001,USR-063,"[""TV-STUDY-000003"", ""TV-LABORDER-000003""]"
TV-STUDY-000005,Participant Reconsented,2023-01-04T15:16:00Z,data_query_v,TV-S-000005-11:V001,USR-097,"[""TV-STUDY-000005"", ""TV-LABORDER-000005""]"
TV-STUDY-000007,Participant Reconsented,2023-01-04T21:18:00Z,data_query_v,TV-S-000007-11:V001,USR-004,"[""TV-STUDY-000007"", ""TV-LABORDER-000007""]"
TV-STUDY-000009,Participant Reconsented,2023-01-05T03:20:00Z,data_query_v,TV-S-000009-11:V001,USR-038,"[""TV-STUDY-000009"", ""TV-LABORDER-000009""]"
TV-STUDY-000011,Participant Reconsented,2023-01-05T09:22:00Z,data_query_v,TV-S-000011-11:V001,USR-072,"[""TV-STUDY-000011"", ""TV-LABORDER-000011"", ""TV-PROTOCOL-000011""]"
TV-STUDY-000013,Participant Reconsented,2023-01-05T15:24:00Z,data_query_v,TV-S-000013-11:V001,USR-106,"[""TV-STUDY-000013"", ""TV-LABORDER-000013"", ""TV-PROTOCOL-000013""]"
TV-STUDY-000015,Participant Reconsented,2023-01-05T21:26:00Z,data_query_v,TV-S-000015-11:V001,USR-013,"[""TV-STUDY-000015"", ""TV-LABORDER-000015""]"
TV-STUDY-000017,Participant Reconsented,2023-01-06T03:28:00Z,data_query_v,TV-S-000017-11:V001,USR-047,"[""TV-STUDY-000017"", ""TV-LABORDER-000017""]"
TV-STUDY-000019,Participant Reconsented,2023-01-06T09:30:00Z,data_query_v,TV-S-000019-11:V001,USR-081,"[""TV-STUDY-000019"", ""TV-LABORDER-000019"", ""TV-PROTOCOL-000019""]"
TV-STUDY-000009,Visit Rescheduled,2023-01-06T15:26:00Z,drug_kit_v,TV-S-000009-05:V003,USR-044,"[""TV-STUDY-000009"", ""TV-INVESTIGATOR-000009"", ""TV-DISPENSATION-000009""]"
TV-STUDY-000021,Participant Reconsented,2023-01-06T15:32:00Z,data_query_v,TV-S-000021-11:V001,USR-115,"[""TV-STUDY-000021"", ""TV-LABORDER-000021"", ""TV-PROTOCOL-000021""]"
TV-STUDY-000023,Participant Reconsented,2023-01-06T21:34:00Z,data_query_v,TV-S-000023-11:V001,USR-022,"[""TV-STUDY-000023"", ""TV-LABORDER-000023"", ""TV-PROTOCOL-000023""]"
TV-STUDY-000025,Participant Reconsented,2023-01-07T03:36:00Z,data_query_v,TV-S-000025-11:V001,USR-056,"[""TV-STUDY-000025"", ""TV-LABORDER-000025"", ""TV-PROTOCOL-000025""]"
TV-STUDY-000027,Participant Reconsented,2023-01-07T09:38:00Z,data_query_v,TV-S-000027-11:V001,USR-090,"[""TV-STUDY-000027"", ""TV-LABORDER-000027""]"
TV-STUDY-000029,Participant Reconsented,2023-01-07T15:40:00Z,data_query_v,TV-S-000029-11:V001,USR-124,"[""TV-STUDY-000029"", ""TV-LABORDER-000029""]"
TV-STUDY-000031,Participant Reconsented,2023-01-07T21:42:00Z,data_query_v,TV-S-000031-11:V001,USR-031,"[""TV-STUDY-000031"", ""TV-LABORDER-000031"", ""TV-PROTOCOL-000031""]"
TV-STUDY-000033,Participant Reconsented,2023-01-08T03:44:00Z,data_query_v,TV-S-000033-11:V001,USR-065,"[""TV-STUDY-000033"", ""TV-LABORDER-000033""]"
TV-STUDY-000035,Participant Reconsented,2023-01-08T09:46:00Z,data_query_v,TV-S-000035-11:V001,USR-099,"[""TV-STUDY-000035"", ""TV-LABORDER-000035""]"
TV-STUDY-000037,Participant Reconsented,2023-01-08T15:48:00Z,data_query_v,TV-S-000037-11:V001,USR-006,"[""TV-STUDY-000037"", ""TV-LABORDER-000037"", ""TV-PROTOCOL-000037""]"
TV-STUDY-000039,Participant Reconsented,2023-01-08T21:50:00Z,data_query_v,TV-S-000039-11:V001,USR-040,"[""TV-STUDY-000039"", ""TV-LABORDER-000039"", ""TV-PROTOCOL-000039""]"
TV-STUDY-000041,Participant Reconsented,2023-01-09T03:52:00Z,data_query_v,TV-S-000041-11:V001,USR-074,"[""TV-STUDY-000041"", ""TV-LABORDER-000041""]"
TV-STUDY-000043,Participant Reconsented,2023-01-09T09:01:00Z,data_query_v,TV-S-000043-11:V001,USR-108,"[""TV-STUDY-000043"", ""TV-LABORDER-000043""]"
TV-STUDY-000032,Visit Rescheduled,2023-01-09T12:49:00Z,drug_kit_v,TV-S-000032-05:V002,USR-054,"[""TV-STUDY-000032"", ""TV-INVESTIGATOR-000032""]"
TV-STUDY-000045,Participant Reconsented,2023-01-09T15:03:00Z,data_query_v,TV-S-000045-11:V001,USR-015,"[""TV-STUDY-000045"", ""TV-LABORDER-000045""]"
TV-STUDY-000047,Participant Reconsented,2023-01-09T21:05:00Z,data_query_v,TV-S-000047-11:V001,USR-049,"[""TV-STUDY-000047"", ""TV-LABORDER-000047"", ""TV-PROTOCOL-000047""]"
TV-STUDY-000049,Participant Reconsented,2023-01-10T03:07:00Z,data_query_v,TV-S-000049-11:V001,USR-083,"[""TV-STUDY-000049"", ""TV-LABORDER-000049""]"
TV-STUDY-000051,Participant Reconsented,2023-01-10T09:09:00Z,data_query_v,TV-S-000051-11:V001,USR-117,"[""TV-STUDY-000051"", ""TV-LABORDER-000051""]"
TV-STUDY-000053,Participant Reconsented,2023-01-10T15:11:00Z,data_query_v,TV-S-000053-11:V001,USR-024,"[""TV-STUDY-000053"", ""TV-LABORDER-000053""]"
TV-STUDY-000036,Visit Missed,2023-01-10T18:03:00Z,lab_test_v,TV-S-000036-08:V003,USR-125,"[""TV-STUDY-000036"", ""TV-PARTICIPANT-000036"", ""TV-ALIQUOT-000036""]"
TV-STUDY-000055,Participant Reconsented,2023-01-10T21:13:00Z,data_query_v,TV-S-000055-11:V001,USR-058,"[""TV-STUDY-000055"", ""TV-LABORDER-000055""]"
TV-STUDY-000057,Participant Reconsented,2023-01-11T03:15:00Z,data_query_v,TV-S-000057-11:V001,USR-092,"[""TV-STUDY-000057"", ""TV-LABORDER-000057""]"
TV-STUDY-000059,Participant Reconsented,2023-01-11T09:17:00Z,data_query_v,TV-S-000059-11:V001,USR-126,"[""TV-STUDY-000059"", ""TV-LABORDER-000059""]"
TV-STUDY-000061,Participant Reconsented,2023-01-11T15:19:00Z,data_query_v,TV-S-000061-11:V001,USR-033,"[""TV-STUDY-000061"", ""TV-LABORDER-000061""]"
TV-STUDY-000063,Participant Reconsented,2023-01-11T21:21:00Z,data_query_v,TV-S-000063-11:V001,USR-067,"[""TV-STUDY-000063"", ""TV-LABORDER-000063"", ""TV-PROTOCOL-000063""]"
TV-STUDY-000065,Participant Reconsented,2023-01-12T03:23:00Z,data_query_v,TV-S-000065-11:V001,USR-101,"[""TV-STUDY-000065"", ""TV-LABORDER-000065""]"
TV-STUDY-000055,Visit Rescheduled,2023-01-12T09:19:00Z,drug_kit_v,TV-S-000055-05:V002,USR-064,"[""TV-STUDY-000055"", ""TV-INVESTIGATOR-000055""]"
TV-STUDY-000067,Participant Reconsented,2023-01-12T09:25:00Z,data_query_v,TV-S-000067-11:V001,USR-008,"[""TV-STUDY-000067"", ""TV-LABORDER-000067""]"
TV-STUDY-000069,Participant Reconsented,2023-01-12T15:27:00Z,data_query_v,TV-S-000069-11:V001,USR-042,"[""TV-STUDY-000069"", ""TV-LABORDER-000069"", ""TV-PROTOCOL-000069""]"
TV-STUDY-000071,Participant Reconsented,2023-01-12T21:29:00Z,data_query_v,TV-S-000071-11:V001,USR-076,"[""TV-STUDY-000071"", ""TV-LABORDER-000071""]"
TV-STUDY-000073,Participant Reconsented,2023-01-13T03:31:00Z,data_query_v,TV-S-000073-11:V001,USR-110,"[""TV-STUDY-000073"", ""TV-LABORDER-000073""]"
TV-STUDY-000075,Participant Reconsented,2023-01-13T09:33:00Z,data_query_v,TV-S-000075-11:V001,USR-017,"[""TV-STUDY-000075"", ""TV-LABORDER-000075""]"
TV-STUDY-000077,Participant Reconsented,2023-01-13T15:35:00Z,data_query_v,TV-S-000077-11:V001,USR-051,"[""TV-STUDY-000077"", ""TV-LABORDER-000077"", ""TV-PROTOCOL-000077""]"
TV-STUDY-000079,Participant Reconsented,2023-01-13T21:37:00Z,data_query_v,TV-S-000079-11:V001,USR-085,"[""TV-STUDY-000079"", ""TV-LABORDER-000079"", ""TV-PROTOCOL-000079""]"
TV-STUDY-000081,Participant Reconsented,2023-01-14T03:39:00Z,data_query_v,TV-S-000081-11:V001,USR-119,"[""TV-STUDY-000081"", ""TV-LABORDER-000081""]"
TV-STUDY-000083,Participant Reconsented,2023-01-14T09:41:00Z,data_query_v,TV-S-000083-11:V001,USR-026,"[""TV-STUDY-000083"", ""TV-LABORDER-000083""]"
TV-STUDY-000085,Participant Reconsented,2023-01-14T15:43:00Z,data_query_v,TV-S-000085-11:V001,USR-060,"[""TV-STUDY-000085"", ""TV-LABORDER-000085""]"
TV-STUDY-000087,Participant Reconsented,2023-01-14T21:45:00Z,data_query_v,TV-S-000087-11:V001,USR-094,"[""TV-STUDY-000087"", ""TV-LABORDER-000087""]"
TV-STUDY-000089,Participant Reconsented,2023-01-15T03:47:00Z,data_query_v,TV-S-000089-11:V001,USR-001,"[""TV-STUDY-000089"", ""TV-LABORDER-000089"", ""TV-PROTOCOL-000089""]"
TV-STUDY-000078,Visit Rescheduled,2023-01-15T06:42:00Z,drug_kit_v,TV-S-000078-05:V003,USR-074,"[""TV-STUDY-000078"", ""TV-INVESTIGATOR-000078""]"
TV-STUDY-000073,Visit Missed,2023-01-15T09:40:00Z,lab_test_v,TV-S-000073-08:V001,USR-119,"[""TV-STUDY-000073"", ""TV-PARTICIPANT-000073""]"
TV-STUDY-000091,Participant Reconsented,2023-01-15T09:49:00Z,data_query_v,TV-S-000091-11:V001,USR-035,"[""TV-STUDY-000091"", ""TV-LABORDER-000091"", ""TV-PROTOCOL-000091""]"
TV-STUDY-000093,Participant Reconsented,2023-01-15T15:51:00Z,data_query_v,TV-S-000093-11:V001,USR-069,"[""TV-STUDY-000093"", ""TV-LABORDER-000093""]"
TV-STUDY-000095,Participant Reconsented,2023-01-15T21:00:00Z,data_query_v,TV-S-000095-11:V001,USR-103,"[""TV-STUDY-000095"", ""TV-LABORDER-000095"", ""TV-PROTOCOL-000095""]"
TV-STUDY-000005,Visit Rescheduled,2023-01-15T22:00:00Z,drug_kit_v,TV-S-000005-05:V003,USR-103,"[""TV-STUDY-000005"", ""TV-INVESTIGATOR-000005""]"
TV-STUDY-000005,Visit Missed,2023-01-15T22:37:00Z,lab_test_v,TV-S-000005-08:V001,USR-106,"[""TV-STUDY-000005"", ""TV-PARTICIPANT-000005""]"
TV-STUDY-000005,Participant Reconsented,2023-01-15T23:14:00Z,data_query_v,TV-S-000005-11:V003,USR-097,"[""TV-STUDY-000005"", ""TV-LABORDER-000005""]"
TV-STUDY-000097,Participant Reconsented,2023-01-16T03:02:00Z,data_query_v,TV-S-000097-11:V001,USR-010,"[""TV-STUDY-000097"", ""TV-LABORDER-000097""]"
TV-STUDY-000099,Participant Reconsented,2023-01-16T09:04:00Z,data_query_v,TV-S-000099-11:V001,USR-044,"[""TV-STUDY-000099"", ""TV-LABORDER-000099"", ""TV-PROTOCOL-000099""]"
TV-STUDY-000010,Visit Rescheduled,2023-01-16T13:00:00Z,drug_kit_v,TV-S-000010-05:V002,USR-061,"[""TV-STUDY-000010"", ""TV-INVESTIGATOR-000010"", ""TV-DISPENSATION-000010""]"
TV-STUDY-000010,Visit Missed,2023-01-16T13:37:00Z,lab_test_v,TV-S-000010-08:V002,USR-064,"[""TV-STUDY-000010"", ""TV-PARTICIPANT-000010"", ""TV-ALIQUOT-000010""]"
TV-STUDY-000010,Participant Reconsented,2023-01-16T14:14:00Z,data_query_v,TV-S-000010-11:V001,USR-055,"[""TV-STUDY-000010"", ""TV-LABORDER-000010""]"
TV-STUDY-000101,Participant Reconsented,2023-01-16T15:06:00Z,data_query_v,TV-S-000101-11:V001,USR-078,"[""TV-STUDY-000101"", ""TV-LABORDER-000101""]"
TV-STUDY-000103,Participant Reconsented,2023-01-16T21:08:00Z,data_query_v,TV-S-000103-11:V001,USR-112,"[""TV-STUDY-000103"", ""TV-LABORDER-000103""]"
TV-STUDY-000105,Participant Reconsented,2023-01-17T03:10:00Z,data_query_v,TV-S-000105-11:V001,USR-019,"[""TV-STUDY-000105"", ""TV-LABORDER-000105""]"
TV-STUDY-000015,Visit Rescheduled,2023-01-17T04:00:00Z,drug_kit_v,TV-S-000015-05:V002,USR-019,"[""TV-STUDY-000015"", ""TV-INVESTIGATOR-000015""]"
TV-STUDY-000015,Visit Missed,2023-01-17T04:37:00Z,lab_test_v,TV-S-000015-08:V001,USR-022,"[""TV-STUDY-000015"", ""TV-PARTICIPANT-000015"", ""TV-ALIQUOT-000015""]"
