case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
TV-STUDY-000001,Study Created,2023-01-01T09:01:00Z,study_v,TV-S-000001-00:V001,USR-018,"[""TV-STUDY-000001"", ""TV-PROTOCOL-000001"", ""TV-DOSE-000001""]"
TV-STUDY-000002,Protocol Published,2023-01-01T18:03:00Z,protocol_v,TV-S-000002-01:V001,USR-036,"[""TV-STUDY-000002"", ""TV-SITE-000002"", ""TV-SAMPLE-000002""]"
TV-STUDY-000001,Protocol Amended,2023-01-01T21:03:00Z,site_v,TV-S-000001-02:V001,USR-020,"[""TV-STUDY-000001"", ""TV-PARTICIPANT-000001"", ""TV-ALIQUOT-000001""]"
TV-STUDY-000003,Protocol Published,2023-01-01T21:04:00Z,protocol_v,TV-S-000003-01:V001,USR-053,"[""TV-STUDY-000003"", ""TV-SITE-000003"", ""TV-SAMPLE-000003""]"
TV-STUDY-000005,Study Created,2023-01-01T21:05:00Z,study_v,TV-S-000005-00:V001,USR-086,"[""TV-STUDY-000005"", ""TV-PROTOCOL-000005"", ""TV-DOSE-000005""]"
TV-STUDY-000004,Protocol Published,2023-01-02T00:05:00Z,protocol_v,TV-S-000004-01:V001,USR-070,"[""TV-STUDY-000004"", ""TV-SITE-000004"", ""TV-SAMPLE-000004""]"
TV-STUDY-000002,Site Initiated,2023-01-02T06:05:00Z,participant_v,TV-S-000002-03:V001,USR-038,"[""TV-STUDY-000002"", ""TV-CONSENT-000002"", ""TV-SAMPLESHIPMENT-000002""]"
TV-STUDY-000006,Protocol Published,2023-01-02T06:07:00Z,protocol_v,TV-S-000006-01:V001,USR-104,"[""TV-STUDY-000006"", ""TV-SITE-000006"", ""TV-SAMPLE-000006""]"
TV-STUDY-000008,Study Created,2023-01-02T06:08:00Z,study_v,TV-S-000008-00:V001,USR-010,"[""TV-STUDY-000008"", ""TV-PROTOCOL-000008"", ""TV-DOSE-000008""]"
TV-STUDY-000003,Site Initiated,2023-01-02T09:06:00Z,participant_v,TV-S-000003-03:V001,USR-055,"[""TV-STUDY-000003"", ""TV-CONSENT-000003"", ""TV-SAMPLESHIPMENT-000003""]"
TV-STUDY-000007,Protocol Published,2023-01-02T09:08:00Z,protocol_v,TV-S-000007-01:V001,USR-121,"[""TV-STUDY-000007"", ""TV-SITE-000007"", ""TV-SAMPLE-000007""]"
TV-STUDY-000004,Site Initiated,2023-01-02T12:07:00Z,participant_v,TV-S-000004-03:V001,USR-072,"[""TV-STUDY-000004"", ""TV-CONSENT-000004"", ""TV-SAMPLESHIPMENT-000004""]"
TV-STUDY-000010,Study Created,2023-01-02T12:10:00Z,study_v,TV-S-000010-00:V001,USR-044,"[""TV-STUDY-000010"", ""TV-PROTOCOL-000010"", ""TV-DOSE-000010""]"
