case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
FF-CUSTOMER-000001,RFQ Created,2023-01-01T09:01:00Z,commercial_document,FF-R-00000001,USR-018,"[""FF-CUSTOMER-000001"",""FF-RFQ-000001"",""FF-ENGINEERINGCHANGE-000001""]"
FF-CUSTOMER-000001,Quote Prepared,2023-01-01T21:03:00Z,supply_posting,FF-R-00000007,USR-020,"[""FF-CUSTOMER-000001"",""FF-QUOTE-000001"",""FF-WORKORDER-000001""]"
FF-CUSTOMER-000002,Quote Prepared,2023-01-02T00:04:00Z,supply_posting,FF-R-00000010,USR-037,"[""FF-CUSTOMER-000002"",""FF-QUOTE-000002"",""FF-WORKORDER-000002""]"
FF-CUSTOMER-000003,Quote Prepared,2023-01-02T03:05:00Z,supply_posting,FF-R-00000014,USR-054,"[""FF-CUSTOMER-000003"",""FF-QUOTE-000003"",""FF-WORKORDER-000003""]"
FF-CUSTOMER-000005,RFQ Line Added,2023-01-02T03:06:00Z,engineering_execution,FF-R-00000015,USR-087,"[""FF-CUSTOMER-000005"",""FF-RFQLINE-000005"",""FF-BOMREVISION-000005""]"
FF-CUSTOMER-000004,Quote Prepared,2023-01-02T06:06:00Z,supply_posting,FF-R-00000018,USR-071,"[""FF-CUSTOMER-000004"",""FF-QUOTE-000004"",""FF-WORKORDER-000004""]"
FF-CUSTOMER-000006,RFQ Line Added,2023-01-02T06:07:00Z,engineering_execution,FF-R-00000019,USR-104,"[""FF-CUSTOMER-000006"",""FF-RFQLINE-000006"",""FF-BOMREVISION-000006""]"
FF-CUSTOMER-000009,RFQ Created,2023-01-02T09:09:00Z,commercial_document,FF-R-00000025,USR-027,"[""FF-CUSTOMER-000009"",""FF-RFQ-000009"",""FF-ENGINEERINGCHANGE-000009""]"
FF-CUSTOMER-000002,Quote Approved,2023-01-02T12:06:00Z,fulfilment_record,FF-R-00000026,USR-039,"[""FF-CUSTOMER-000002"",""FF-SALESORDER-000002"",""FF-MATERIAL-000002""]"
FF-CUSTOMER-000008,RFQ Line Added,2023-01-02T12:09:00Z,engineering_execution,FF-R-00000029,USR-011,"[""FF-CUSTOMER-000008"",""FF-RFQLINE-000008"",""FF-BOMREVISION-000008""]"
FF-CUSTOMER-000001,Quote Sent,2023-01-02T15:06:00Z,finance_posting,FF-R-00000031,USR-023,"[""FF-CUSTOMER-000001"",""FF-SALESORDERLINE-000001"",""FF-MATERIALLOT-000001""]"
FF-CUSTOMER-000003,Quote Approved,2023-01-02T15:07:00Z,fulfilment_record,FF-R-00000032,USR-056,"[""FF-CUSTOMER-000003"",""FF-SALESORDER-000003"",""FF-MATERIAL-000003""]"
