case_id,activity,timestamp,source_table,source_record_id,actor,object_refs,primary_case_id
FF-SHIPMENT-000001,Shipment Planned,2023-01-25T07:22:00Z,fulfilment_record,FF-R-00000846,FF-LOGISTICS-002,"[""FF-SALESORDER-000001"",""FF-SHIPMENT-000001"",""FF-SERIALUNIT-000001"",""FF-PACKAGE-000001""]",FF-SALESORDER-000001
FF-SHIPMENT-000001,Package Sealed,2023-01-27T07:23:00Z,finance_posting,FF-R-00001074,FF-LOGISTICS-005,"[""FF-SALESORDER-000001"",""FF-PACKAGE-000001"",""FF-SHIPMENT-000001"",""FF-SERIALUNIT-000001""]",FF-SALESORDER-000001
FF-SHIPMENT-000001,Shipment Dispatched,2023-01-27T08:02:00Z,commercial_document,FF-R-00001091,FF-LOGISTICS-008,"[""FF-SALESORDER-000001"",""FF-SHIPMENT-000001"",""FF-SERIALUNIT-000001"",""FF-PACKAGE-000001""]",FF-SALESORDER-000001
FF-SHIPMENT-000001,Delivery Confirmed,2023-01-27T10:03:00Z,engineering_execution,FF-R-00001117,FF-LOGISTICS-002,"[""FF-SALESORDER-000001"",""FF-SHIPMENT-000001"",""FF-SERIALUNIT-000001"",""FF-PACKAGE-000001""]",FF-SALESORDER-000001
FF-SHIPMENT-000001,Invoice Issued,2023-01-27T13:26:00Z,supply_posting,FF-R-00001135,FF-FINANCE-005,"[""FF-SALESORDER-000001"",""FF-INVOICE-000001"",""FF-SHIPMENT-000001""]",FF-SALESORDER-000001
FF-SHIPMENT-000002,Shipment Planned,2023-02-01T08:50:00Z,fulfilment_record,FF-R-00001595,FF-LOGISTICS-009,"[""FF-SALESORDER-000002"",""FF-SHIPMENT-000002"",""FF-SERIALUNIT-000002"",""FF-PACKAGE-000002""]",FF-SALESORDER-000002
FF-SHIPMENT-000002,Package Sealed,2023-02-01T09:44:00Z,finance_posting,FF-R-00001600,FF-LOGISTICS-003,"[""FF-SALESORDER-000002"",""FF-PACKAGE-000002"",""FF-SHIPMENT-000002"",""FF-SERIALUNIT-000002""]",FF-SALESORDER-000002
FF-SHIPMENT-000002,Shipment Dispatched,2023-02-01T12:00:00Z,commercial_document,FF-R-00001616,FF-LOGISTICS-006,"[""FF-SALESORDER-000002"",""FF-SHIPMENT-000002"",""FF-SERIALUNIT-000002"",""FF-PACKAGE-000002""]",FF-SALESORDER-000002
FF-SHIPMENT-000002,Delivery Confirmed,2023-02-01T15:38:00Z,engineering_execution,FF-R-00001637,FF-LOGISTICS-009,"[""FF-SALESORDER-000002"",""FF-SHIPMENT-000002"",""FF-SERIALUNIT-000002"",""FF-PACKAGE-000002""]",FF-SALESORDER-000002
FF-SHIPMENT-000002,Invoice Issued,2023-02-02T08:27:00Z,supply_posting,FF-R-00001740,FF-FINANCE-012,"[""FF-SALESORDER-000002"",""FF-INVOICE-000002"",""FF-SHIPMENT-000002""]",FF-SALESORDER-000002
FF-SHIPMENT-000003,Shipment Planned,2023-01-24T08:24:00Z,fulfilment_record,FF-R-00000765,FF-LOGISTICS-007,"[""FF-SALESORDER-000003"",""FF-SHIPMENT-000003"",""FF-SERIALUNIT-000003"",""FF-PACKAGE-000003""]",FF-SALESORDER-000003
FF-SHIPMENT-000003,Package Sealed,2023-01-24T10:55:00Z,finance_posting,FF-R-00000780,FF-LOGISTICS-001,"[""FF-SALESORDER-000003"",""FF-PACKAGE-000003"",""FF-SHIPMENT-000003"",""FF-SERIALUNIT-000003""]",FF-SALESORDER-000003
FF-SHIPMENT-000003,Shipment Dispatched,2023-01-24T14:48:00Z,commercial_document,FF-R-00000795,FF-LOGISTICS-004,"[""FF-SALESORDER-000003"",""FF-SHIPMENT-000003"",""FF-SERIALUNIT-000003"",""FF-PACKAGE-000003""]",FF-SALESORDER-000003
FF-SHIPMENT-000003,Delivery Confirmed,2023-01-25T08:27:00Z,engineering_execution,FF-R-00000873,FF-LOGISTICS-007,"[""FF-SALESORDER-000003"",""FF-SHIPMENT-000003"",""FF-SERIALUNIT-000003"",""FF-PACKAGE-000003""]",FF-SALESORDER-000003
FF-SHIPMENT-000003,Invoice Issued,2023-01-25T15:04:00Z,supply_posting,FF-R-00000911,FF-FINANCE-004,"[""FF-SALESORDER-000003"",""FF-INVOICE-000003"",""FF-SHIPMENT-000003""]",FF-SALESORDER-000003
FF-SHIPMENT-000004,Shipment Planned,2023-01-26T07:26:00Z,fulfilment_record,FF-R-00000964,FF-LOGISTICS-005,"[""FF-SALESORDER-000004"",""FF-SHIPMENT-000004"",""FF-SERIALUNIT-000004"",""FF-PACKAGE-000004""]",FF-SALESORDER-000004
FF-SHIPMENT-000004,Package Sealed,2023-01-26T12:27:00Z,finance_posting,FF-R-00001012,FF-LOGISTICS-008,"[""FF-SALESORDER-000004"",""FF-PACKAGE-000004"",""FF-SHIPMENT-000004"",""FF-SERIALUNIT-000004""]",FF-SALESORDER-000004
FF-SHIPMENT-000004,Shipment Dispatched,2023-01-26T18:50:00Z,commercial_document,FF-R-00001035,FF-LOGISTICS-002,"[""FF-SALESORDER-000004"",""FF-SHIPMENT-000004"",""FF-SERIALUNIT-000004"",""FF-PACKAGE-000004""]",FF-SALESORDER-000004
FF-SHIPMENT-000004,Delivery Confirmed,2023-01-27T07:29:00Z,engineering_execution,FF-R-00001080,FF-LOGISTICS-005,"[""FF-SALESORDER-000004"",""FF-SHIPMENT-000004"",""FF-SERIALUNIT-000004"",""FF-PACKAGE-000004""]",FF-SALESORDER-000004
FF-SHIPMENT-000004,Invoice Issued,2023-01-27T16:36:00Z,supply_posting,FF-R-00001153,FF-FINANCE-011,"[""FF-SALESORDER-000004"",""FF-INVOICE-000004"",""FF-SHIPMENT-000004""]",FF-SALESORDER-000004
FF-SHIPMENT-000005,Shipment Planned,2023-02-13T08:39:00Z,fulfilment_record,FF-R-00003080,FF-LOGISTICS-003,"[""FF-SALESORDER-000005"",""FF-SHIPMENT-000005"",""FF-SERIALUNIT-000005"",""FF-PACKAGE-000005""]",FF-SALESORDER-000005
FF-SHIPMENT-000005,Package Sealed,2023-02-14T07:40:00Z,finance_posting,FF-R-00003244,FF-LOGISTICS-006,"[""FF-SALESORDER-000005"",""FF-PACKAGE-000005"",""FF-SHIPMENT-000005"",""FF-SERIALUNIT-000005""]",FF-SALESORDER-000005
FF-SHIPMENT-000005,Shipment Dispatched,2023-02-15T07:41:00Z,commercial_document,FF-R-00003418,FF-LOGISTICS-009,"[""FF-SALESORDER-000005"",""FF-SHIPMENT-000005"",""FF-SERIALUNIT-000005"",""FF-PACKAGE-000005""]",FF-SALESORDER-000005
FF-SHIPMENT-000005,Delivery Confirmed,2023-02-16T07:42:00Z,engineering_execution,FF-R-00003621,FF-LOGISTICS-003,"[""FF-SALESORDER-000005"",""FF-SHIPMENT-000005"",""FF-SERIALUNIT-000005"",""FF-PACKAGE-000005""]",FF-SALESORDER-000005
FF-SHIPMENT-000005,Invoice Issued,2023-02-17T07:43:00Z,supply_posting,FF-R-00003807,FF-FINANCE-003,"[""FF-SALESORDER-000005"",""FF-INVOICE-000005"",""FF-SHIPMENT-000005""]",FF-SALESORDER-000005
FF-SHIPMENT-000006,Shipment Planned,2023-01-24T11:42:00Z,fulfilment_record,FF-R-00000783,FF-LOGISTICS-001,"[""FF-SALESORDER-000006"",""FF-SHIPMENT-000006"",""FF-SERIALUNIT-000006"",""FF-PACKAGE-000006""]",FF-SALESORDER-000006
FF-SHIPMENT-000006,Package Sealed,2023-01-25T08:28:00Z,finance_posting,FF-R-00000874,FF-LOGISTICS-004,"[""FF-SALESORDER-000006"",""FF-PACKAGE-000006"",""FF-SHIPMENT-000006"",""FF-SERIALUNIT-000006""]",FF-SALESORDER-000006
FF-SHIPMENT-000006,Shipment Dispatched,2023-01-25T17:12:00Z,commercial_document,FF-R-00000919,FF-LOGISTICS-007,"[""FF-SALESORDER-000006"",""FF-SHIPMENT-000006"",""FF-SERIALUNIT-000006"",""FF-PACKAGE-000006""]",FF-SALESORDER-000006
FF-SHIPMENT-000006,Delivery Confirmed,2023-01-26T07:30:00Z,engineering_execution,FF-R-00000966,FF-LOGISTICS-001,"[""FF-SALESORDER-000006"",""FF-SHIPMENT-000006"",""FF-SERIALUNIT-000006"",""FF-PACKAGE-000006""]",FF-SALESORDER-000006
FF-SHIPMENT-000006,Invoice Issued,2023-01-26T18:58:00Z,supply_posting,FF-R-00001036,FF-FINANCE-010,"[""FF-SALESORDER-000006"",""FF-INVOICE-000006"",""FF-SHIPMENT-000006""]",FF-SALESORDER-000006
FF-SHIPMENT-000007,Shipment Planned,2023-02-01T07:14:00Z,fulfilment_record,FF-R-00001528,FF-LOGISTICS-008,"[""FF-SALESORDER-000007"",""FF-SHIPMENT-000007"",""FF-SERIALUNIT-000007"",""FF-PACKAGE-000007""]",FF-SALESORDER-000007
FF-SHIPMENT-000007,Package Sealed,2023-02-01T18:52:00Z,finance_posting,FF-R-00001659,FF-LOGISTICS-002,"[""FF-SALESORDER-000007"",""FF-PACKAGE-000007"",""FF-SHIPMENT-000007"",""FF-SERIALUNIT-000007""]",FF-SALESORDER-000007
FF-SHIPMENT-000007,Shipment Dispatched,2023-02-02T07:52:00Z,commercial_document,FF-R-00001721,FF-LOGISTICS-005,"[""FF-SALESORDER-000007"",""FF-SHIPMENT-000007"",""FF-SERIALUNIT-000007"",""FF-PACKAGE-000007""]",FF-SALESORDER-000007
