case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
,Pre-Application Opened,2023-01-01T09:01:00Z,wf_activity_history,WF-0000000001,USR-018,"[""PF-PERMITAPPLICATION-000001"",""PF-APPLICANT-000001"",""PF-FEEINVOICE-000001""]"
,Pre-Application Opened,2023-01-01T12:02:00Z,wf_activity_history,WF-0000000002,USR-035,"[""PF-PERMITAPPLICATION-000002"",""PF-APPLICANT-000002"",""PF-FEEINVOICE-000002""]"
,Pre-Application Opened,2023-01-01T15:03:00Z,wf_activity_history,WF-0000000004,USR-052,"[""PF-PERMITAPPLICATION-000003"",""PF-APPLICANT-000003"",""PF-FEEINVOICE-000003""]"
,Pre-Application Opened,2023-01-01T18:04:00Z,wf_activity_history,WF-0000000006,USR-069,"[""PF-PERMITAPPLICATION-000004"",""PF-APPLICANT-000004"",""PF-FEEINVOICE-000004""]"
,Parcel Linked,2023-01-01T21:03:00Z,wf_message_delivery,WF-0000000007,USR-020,"[""PF-PERMITAPPLICATION-000001"",""PF-PROPERTY-000001"",""PF-PERMIT-000001""]"
,Parcel Linked,2023-01-02T03:05:00Z,wf_message_delivery,WF-0000000014,USR-054,"[""PF-PERMITAPPLICATION-000003"",""PF-PROPERTY-000003"",""PF-PERMIT-000003""]"
,Application Drafted,2023-01-02T06:05:00Z,wf_form_submission,WF-0000000017,USR-038,"[""PF-PERMITAPPLICATION-000002"",""PF-PLANREVISION-000002"",""PF-CONTRACTOR-000002""]"
,Parcel Linked,2023-01-02T06:06:00Z,wf_message_delivery,WF-0000000018,USR-071,"[""PF-PERMITAPPLICATION-000004"",""PF-PROPERTY-000004"",""PF-PERMIT-000004""]"
,Pre-Application Opened,2023-01-02T06:08:00Z,wf_activity_history,WF-0000000020,USR-010,"[""PF-PERMITAPPLICATION-000008"",""PF-APPLICANT-000008"",""PF-FEEINVOICE-000008""]"
,Applicant Identity Verified,2023-01-02T06:22:00Z,wf_task_history,WF-0000000019,USR-104,"[""PF-PERMITAPPLICATION-000006"",""PF-PARCEL-000006"",""PF-PAYMENT-000006""]"
,Parcel Linked,2023-01-02T09:07:00Z,wf_message_delivery,WF-0000000023,USR-088,"[""PF-PERMITAPPLICATION-000005"",""PF-PROPERTY-000005"",""PF-PERMIT-000005""]"
,Applicant Identity Verified,2023-01-02T09:23:00Z,wf_task_history,WF-0000000024,USR-121,"[""PF-PERMITAPPLICATION-000007"",""PF-PARCEL-000007"",""PF-PAYMENT-000007""]"
,Pre-Application Opened,2023-01-02T12:10:00Z,wf_activity_history,WF-0000000030,USR-044,"[""PF-PERMITAPPLICATION-000010"",""PF-APPLICANT-000010"",""PF-FEEINVOICE-000010""]"
PF-PERMITAPPLICATION-000001,Submission Withdrawn,2023-01-02T15:06:00Z,wf_activity_history,WF-0000000031,USR-023,"[""PF-PERMITAPPLICATION-000001"",""PF-REVIEW-000001"",""PF-VIOLATION-000001""]"
,Applicant Identity Verified,2023-01-02T15:25:00Z,wf_task_history,WF-0000000035,USR-028,"[""PF-PERMITAPPLICATION-000009"",""PF-PARCEL-000009"",""PF-PAYMENT-000009""]"
,Submission Withdrawn,2023-01-02T18:07:00Z,wf_activity_history,WF-0000000037,USR-040,"[""PF-PERMITAPPLICATION-000002"",""PF-REVIEW-000002"",""PF-VIOLATION-000002""]"
,Application Drafted,2023-01-02T18:09:00Z,wf_form_submission,WF-0000000039,USR-106,"[""PF-PERMITAPPLICATION-000006"",""PF-PLANREVISION-000006"",""PF-CONTRACTOR-000006""]"
,Parcel Linked,2023-01-02T18:10:00Z,wf_message_delivery,WF-0000000040,USR-012,"[""PF-PERMITAPPLICATION-000008"",""PF-PROPERTY-000008"",""PF-PERMIT-000008""]"
,Submission Withdrawn,2023-01-02T21:08:00Z,wf_activity_history,WF-0000000043,USR-057,"[""PF-PERMITAPPLICATION-000003"",""PF-REVIEW-000003"",""PF-VIOLATION-000003""]"
,Application Submitted,2023-01-02T21:09:00Z,wf_external_task,WF-0000000044,USR-090,"[""PF-PERMITAPPLICATION-000005"",""PF-DOCUMENT-000005"",""PF-INSPECTION-000005""]"
,Application Drafted,2023-01-02T21:10:00Z,wf_form_submission,WF-0000000045,USR-123,"[""PF-PERMITAPPLICATION-000007"",""PF-PLANREVISION-000007"",""PF-CONTRACTOR-000007""]"
,Applicant Identity Verified,2023-01-02T21:27:00Z,wf_task_history,WF-0000000047,USR-062,"[""PF-PERMITAPPLICATION-000011"",""PF-PARCEL-000011"",""PF-PAYMENT-000011""]"
,Submission Withdrawn,2023-01-03T00:09:00Z,wf_activity_history,WF-0000000050,USR-074,"[""PF-PERMITAPPLICATION-000004"",""PF-REVIEW-000004"",""PF-VIOLATION-000004""]"
,Parcel Linked,2023-01-03T00:12:00Z,wf_message_delivery,WF-0000000053,USR-046,"[""PF-PERMITAPPLICATION-000010"",""PF-PROPERTY-000010"",""PF-PERMIT-000010""]"
,Pre-Application Opened,2023-01-03T00:14:00Z,wf_activity_history,WF-0000000055,USR-112,"[""PF-PERMITAPPLICATION-000014"",""PF-APPLICANT-000014"",""PF-FEEINVOICE-000014""]"
,Application Drafted,2023-01-03T03:12:00Z,wf_form_submission,WF-0000000059,USR-030,"[""PF-PERMITAPPLICATION-000009"",""PF-PLANREVISION-000009"",""PF-CONTRACTOR-000009""]"
,Applicant Identity Verified,2023-01-03T03:29:00Z,wf_task_history,WF-0000000061,USR-096,"[""PF-PERMITAPPLICATION-000013"",""PF-PARCEL-000013"",""PF-PAYMENT-000013""]"
,Parcel Linked,2023-01-03T06:14:00Z,wf_message_delivery,WF-0000000067,USR-080,"[""PF-PERMITAPPLICATION-000012"",""PF-PROPERTY-000012"",""PF-PERMIT-000012""]"
,Application Drafted,2023-01-03T09:14:00Z,wf_form_submission,WF-0000000073,USR-064,"[""PF-PERMITAPPLICATION-000011"",""PF-PLANREVISION-000011"",""PF-CONTRACTOR-000011""]"
