case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
PF-PERMITAPPLICATION-000002,Application Reopened,2023-01-03T00:23:00Z,wf_task_history,WF-0000000049,USR-041,"[""PF-PERMITAPPLICATION-000002"",""PF-AGENCY-000002""]"
,Application Reopened,2023-01-03T06:25:00Z,wf_task_history,WF-0000000063,USR-075,"[""PF-PERMITAPPLICATION-000004"",""PF-AGENCY-000004""]"
,Application Reopened,2023-01-03T12:27:00Z,wf_task_history,WF-0000000078,USR-109,"[""PF-PERMITAPPLICATION-000006"",""PF-AGENCY-000006"",""PF-CONDITION-000006""]"
,Application Reopened,2023-01-03T18:29:00Z,wf_task_history,WF-0000000094,USR-016,"[""PF-PERMITAPPLICATION-000008"",""PF-AGENCY-000008""]"
,Application Reopened,2023-01-04T00:31:00Z,wf_task_history,WF-0000000111,USR-050,"[""PF-PERMITAPPLICATION-000010"",""PF-AGENCY-000010""]"
,Application Reopened,2023-01-04T06:33:00Z,wf_task_history,WF-0000000129,USR-084,"[""PF-PERMITAPPLICATION-000012"",""PF-AGENCY-000012""]"
,Application Reopened,2023-01-04T12:35:00Z,wf_task_history,WF-0000000147,USR-118,"[""PF-PERMITAPPLICATION-000014"",""PF-AGENCY-000014""]"
,Application Reopened,2023-01-04T18:37:00Z,wf_task_history,WF-0000000165,USR-025,"[""PF-PERMITAPPLICATION-000016"",""PF-AGENCY-000016"",""PF-CONDITION-000016""]"
,Application Reopened,2023-01-05T00:39:00Z,wf_task_history,WF-0000000184,USR-059,"[""PF-PERMITAPPLICATION-000018"",""PF-AGENCY-000018""]"
,Application Reopened,2023-01-05T06:41:00Z,wf_task_history,WF-0000000202,USR-093,"[""PF-PERMITAPPLICATION-000020"",""PF-AGENCY-000020""]"
,Application Reopened,2023-01-05T12:43:00Z,wf_task_history,WF-0000000222,USR-127,"[""PF-PERMITAPPLICATION-000022"",""PF-AGENCY-000022""]"
,Application Reopened,2023-01-05T18:45:00Z,wf_task_history,WF-0000000241,USR-034,"[""PF-PERMITAPPLICATION-000024"",""PF-AGENCY-000024""]"
,Application Reopened,2023-01-06T00:47:00Z,wf_task_history,WF-0000000259,USR-068,"[""PF-PERMITAPPLICATION-000026"",""PF-AGENCY-000026"",""PF-CONDITION-000026""]"
PF-PERMITAPPLICATION-000028,Application Reopened,2023-01-06T06:49:00Z,wf_task_history,WF-0000000279,USR-102,"[""PF-PERMITAPPLICATION-000028"",""PF-AGENCY-000028""]"
,Completeness Rejected,2023-01-06T09:27:00Z,wf_external_task,WF-0000000286,USR-109,"[""PF-PERMITAPPLICATION-000013"",""PF-OBJECTION-000013""]"
PF-PERMITAPPLICATION-000030,Application Reopened,2023-01-06T12:51:00Z,wf_task_history,WF-0000000298,USR-009,"[""PF-PERMITAPPLICATION-000030"",""PF-AGENCY-000030""]"
PF-PERMITAPPLICATION-000032,Application Reopened,2023-01-06T18:53:00Z,wf_task_history,WF-0000000319,USR-043,"[""PF-PERMITAPPLICATION-000032"",""PF-AGENCY-000032"",""PF-CONDITION-000032""]"
PF-PERMITAPPLICATION-000034,Application Reopened,2023-01-07T00:55:00Z,wf_task_history,WF-0000000337,USR-077,"[""PF-PERMITAPPLICATION-000034"",""PF-AGENCY-000034"",""PF-CONDITION-000034""]"
,Application Reopened,2023-01-07T06:57:00Z,wf_task_history,WF-0000000355,USR-111,"[""PF-PERMITAPPLICATION-000036"",""PF-AGENCY-000036"",""PF-CONDITION-000036""]"
,Application Reopened,2023-01-07T12:59:00Z,wf_task_history,WF-0000000375,USR-018,"[""PF-PERMITAPPLICATION-000038"",""PF-AGENCY-000038"",""PF-CONDITION-000038""]"
,Application Reopened,2023-01-07T19:01:00Z,wf_task_history,WF-0000000394,USR-052,"[""PF-PERMITAPPLICATION-000040"",""PF-AGENCY-000040""]"
,Completeness Rejected,2023-01-08T00:40:00Z,wf_external_task,WF-0000000412,USR-076,"[""PF-PERMITAPPLICATION-000026"",""PF-OBJECTION-000026""]"
,Application Reopened,2023-01-08T01:03:00Z,wf_task_history,WF-0000000415,USR-086,"[""PF-PERMITAPPLICATION-000042"",""PF-AGENCY-000042""]"
,Application Reopened,2023-01-08T07:05:00Z,wf_task_history,WF-0000000439,USR-120,"[""PF-PERMITAPPLICATION-000044"",""PF-AGENCY-000044"",""PF-CONDITION-000044""]"
,Application Reopened,2023-01-08T13:07:00Z,wf_task_history,WF-0000000460,USR-027,"[""PF-PERMITAPPLICATION-000046"",""PF-AGENCY-000046""]"
,Application Reopened,2023-01-08T18:16:00Z,wf_task_history,WF-0000000473,USR-061,"[""PF-PERMITAPPLICATION-000048"",""PF-AGENCY-000048""]"
,Application Reopened,2023-01-09T00:18:00Z,wf_task_history,WF-0000000492,USR-095,"[""PF-PERMITAPPLICATION-000050"",""PF-AGENCY-000050""]"
,Application Reopened,2023-01-09T06:20:00Z,wf_task_history,WF-0000000514,USR-002,"[""PF-PERMITAPPLICATION-000052"",""PF-AGENCY-000052"",""PF-CONDITION-000052""]"
,Application Reopened,2023-01-09T12:22:00Z,wf_task_history,WF-0000000535,USR-036,"[""PF-PERMITAPPLICATION-000054"",""PF-AGENCY-000054""]"
,Completeness Rejected,2023-01-09T15:00:00Z,wf_external_task,WF-0000000545,USR-043,"[""PF-PERMITAPPLICATION-000039"",""PF-OBJECTION-000039"",""PF-REVIEW-000039""]"
PF-PERMITAPPLICATION-000056,Application Reopened,2023-01-09T18:24:00Z,wf_task_history,WF-0000000558,USR-070,"[""PF-PERMITAPPLICATION-000056"",""PF-AGENCY-000056""]"
PF-PERMITAPPLICATION-000058,Application Reopened,2023-01-10T00:26:00Z,wf_task_history,WF-0000000577,USR-104,"[""PF-PERMITAPPLICATION-000058"",""PF-AGENCY-000058""]"
PF-PERMITAPPLICATION-000060,Application Reopened,2023-01-10T06:28:00Z,wf_task_history,WF-0000000599,USR-011,"[""PF-PERMITAPPLICATION-000060"",""PF-AGENCY-000060"",""PF-CONDITION-000060""]"
