case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
PC-PURCHASEREQUISITION-000001,Requisition Rejected,2023-01-02T15:06:00Z,cdhdr,CHG0000000031,USR-023,"[""PC-DOC-000001-05""]"
PC-PURCHASEREQUISITION-000002,Requisition Rejected,2023-01-02T18:07:00Z,cdhdr,CHG0000000037,USR-040,"[""PC-DOC-000002-05""]"
PC-PURCHASEREQUISITION-000003,Requisition Rejected,2023-01-02T21:08:00Z,cdhdr,CHG0000000043,USR-057,"[""PC-DOC-000003-05""]"
PC-PURCHASEREQUISITION-000004,Requisition Rejected,2023-01-03T00:09:00Z,cdhdr,CHG0000000050,USR-074,"[""PC-DOC-000004-05""]"
PC-PURCHASEREQUISITION-000005,Requisition Rejected,2023-01-03T03:10:00Z,cdhdr,CHG0000000057,USR-091,"[""PC-DOC-000005-05""]"
PC-PURCHASEREQUISITION-000006,Requisition Rejected,2023-01-03T06:11:00Z,cdhdr,CHG0000000064,USR-108,"[""PC-DOC-000006-05""]"
PC-PURCHASEREQUISITION-000007,Requisition Rejected,2023-01-03T09:12:00Z,cdhdr,CHG0000000071,USR-125,"[""PC-DOC-000007-05""]"
PC-PURCHASEREQUISITION-000008,Requisition Rejected,2023-01-03T12:13:00Z,cdhdr,CHG0000000079,USR-015,"[""PC-DOC-000008-05""]"
PC-PURCHASEREQUISITION-000009,Requisition Rejected,2023-01-03T15:14:00Z,cdhdr,CHG0000000087,USR-032,"[""PC-DOC-000009-05""]"
PC-PURCHASEREQUISITION-000010,Requisition Rejected,2023-01-03T18:15:00Z,cdhdr,CHG0000000095,USR-049,"[""PC-DOC-000010-05""]"
PC-PURCHASEREQUISITION-000011,Requisition Rejected,2023-01-03T21:16:00Z,cdhdr,CHG0000000103,USR-066,"[""PC-DOC-000011-05""]"
PC-PURCHASEREQUISITION-000012,Requisition Rejected,2023-01-04T00:17:00Z,cdhdr,CHG0000000112,USR-083,"[""PC-DOC-000012-05""]"
PC-PURCHASEREQUISITION-000013,Requisition Rejected,2023-01-04T03:18:00Z,cdhdr,CHG0000000121,USR-100,"[""PC-DOC-000013-05""]"
PC-PURCHASEREQUISITION-000014,Requisition Rejected,2023-01-04T06:19:00Z,cdhdr,CHG0000000130,USR-117,"[""PC-DOC-000014-05""]"
PC-PURCHASEREQUISITION-000015,Requisition Rejected,2023-01-04T09:20:00Z,cdhdr,CHG0000000139,USR-007,"[""PC-DOC-000015-05""]"
PC-PURCHASEREQUISITION-000016,Requisition Rejected,2023-01-04T12:21:00Z,cdhdr,CHG0000000148,USR-024,"[""PC-DOC-000016-05""]"
PC-PURCHASEREQUISITION-000017,Requisition Rejected,2023-01-04T15:22:00Z,cdhdr,CHG0000000157,USR-041,"[""PC-DOC-000017-05""]"
PC-PURCHASEREQUISITION-000018,Requisition Rejected,2023-01-04T18:23:00Z,cdhdr,CHG0000000166,USR-058,"[""PC-DOC-000018-05""]"
PC-PURCHASEREQUISITION-000019,Requisition Rejected,2023-01-04T21:24:00Z,cdhdr,CHG0000000176,USR-075,"[""PC-DOC-000019-05""]"
PC-PURCHASEREQUISITION-000020,Requisition Rejected,2023-01-05T00:25:00Z,cdhdr,CHG0000000185,USR-092,"[""PC-DOC-000020-05""]"
PC-PURCHASEREQUISITION-000021,Requisition Rejected,2023-01-05T03:26:00Z,cdhdr,CHG0000000194,USR-109,"[""PC-DOC-000021-05""]"
PC-PURCHASEREQUISITION-000022,Requisition Rejected,2023-01-05T06:27:00Z,cdhdr,CHG0000000203,USR-126,"[""PC-DOC-000022-05""]"
PC-PURCHASEREQUISITION-000023,Requisition Rejected,2023-01-05T09:28:00Z,cdhdr,CHG0000000214,USR-016,"[""PC-DOC-000023-05""]"
PC-PURCHASEREQUISITION-000024,Requisition Rejected,2023-01-05T12:29:00Z,cdhdr,CHG0000000223,USR-033,"[""PC-DOC-000024-05""]"
PC-PURCHASEREQUISITION-000025,Requisition Rejected,2023-01-05T15:30:00Z,cdhdr,CHG0000000232,USR-050,"[""PC-DOC-000025-05""]"
PC-PURCHASEREQUISITION-000026,Requisition Rejected,2023-01-05T18:31:00Z,cdhdr,CHG0000000242,USR-067,"[""PC-DOC-000026-05""]"
PC-PURCHASEREQUISITION-000027,Requisition Rejected,2023-01-05T21:32:00Z,cdhdr,CHG0000000251,USR-084,"[""PC-DOC-000027-05""]"
PC-PURCHASEREQUISITION-000028,Requisition Rejected,2023-01-06T00:33:00Z,cdhdr,CHG0000000260,USR-101,"[""PC-DOC-000028-05""]"
PC-PURCHASEREQUISITION-000029,Requisition Rejected,2023-01-06T03:34:00Z,cdhdr,CHG0000000271,USR-118,"[""PC-DOC-000029-05""]"
PC-PURCHASEREQUISITION-000030,Requisition Rejected,2023-01-06T06:35:00Z,cdhdr,CHG0000000280,USR-008,"[""PC-DOC-000030-05""]"
PC-PURCHASEREQUISITION-000031,Requisition Rejected,2023-01-06T09:36:00Z,cdhdr,CHG0000000290,USR-025,"[""PC-DOC-000031-05""]"
PC-PURCHASEREQUISITION-000032,Requisition Rejected,2023-01-06T12:37:00Z,cdhdr,CHG0000000299,USR-042,"[""PC-DOC-000032-05""]"
PC-PURCHASEREQUISITION-000033,Requisition Rejected,2023-01-06T15:38:00Z,cdhdr,CHG0000000310,USR-059,"[""PC-DOC-000033-05""]"
PC-PURCHASEREQUISITION-000034,Requisition Rejected,2023-01-06T18:39:00Z,cdhdr,CHG0000000320,USR-076,"[""PC-DOC-000034-05""]"
PC-PURCHASEREQUISITION-000035,Requisition Rejected,2023-01-06T21:40:00Z,cdhdr,CHG0000000329,USR-093,"[""PC-DOC-000035-05""]"
PC-PURCHASEREQUISITION-000036,Requisition Rejected,2023-01-07T00:41:00Z,cdhdr,CHG0000000338,USR-110,"[""PC-DOC-000036-05""]"
PC-PURCHASEREQUISITION-000037,Requisition Rejected,2023-01-07T03:42:00Z,cdhdr,CHG0000000347,USR-127,"[""PC-DOC-000037-05""]"
PC-PURCHASEREQUISITION-000038,Requisition Rejected,2023-01-07T06:43:00Z,cdhdr,CHG0000000356,USR-017,"[""PC-DOC-000038-05""]"
PC-PURCHASEREQUISITION-000007,PO Rejected,2023-01-07T09:28:00Z,cdhdr,CHG0000000362,USR-014,"[""PC-DOC-000007-10""]"
PC-PURCHASEREQUISITION-000039,Requisition Rejected,2023-01-07T09:44:00Z,cdhdr,CHG0000000366,USR-034,"[""PC-DOC-000039-05""]"
PC-PURCHASEREQUISITION-000040,Requisition Rejected,2023-01-07T12:45:00Z,cdhdr,CHG0000000376,USR-051,"[""PC-DOC-000040-05""]"
PC-PURCHASEREQUISITION-000041,Requisition Rejected,2023-01-07T15:46:00Z,cdhdr,CHG0000000385,USR-068,"[""PC-DOC-000041-05""]"
PC-PURCHASEREQUISITION-000042,Requisition Rejected,2023-01-07T18:47:00Z,cdhdr,CHG0000000395,USR-085,"[""PC-DOC-000042-05""]"
