case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
CS-POLICY-000001,Claim Reported,2023-01-01T09:01:00Z,event_store,1,USR-018,"[""CS-POLICY-000001"",""CS-INSUREDPARTY-000001"",""CS-EVIDENCEDOCUMENT-000001""]"
CS-POLICY-000002,Claim Reported,2023-01-01T12:02:00Z,event_store,2,USR-035,"[""CS-POLICY-000002"",""CS-INSUREDPARTY-000002"",""CS-EVIDENCEDOCUMENT-000002""]"
CS-POLICY-000003,Claim Reported,2023-01-01T15:03:00Z,event_store,4,USR-052,"[""CS-POLICY-000003"",""CS-INSUREDPARTY-000003"",""CS-EVIDENCEDOCUMENT-000003""]"
CS-POLICY-000004,Claim Reported,2023-01-01T18:04:00Z,event_store,7,USR-069,"[""CS-POLICY-000004"",""CS-INSUREDPARTY-000004"",""CS-EVIDENCEDOCUMENT-000004""]"
CS-POLICY-000001,Claim Acknowledged,2023-01-01T21:03:00Z,event_store,8,USR-020,"[""CS-POLICY-000001"",""CS-INCIDENT-000001"",""CS-RESERVE-000001""]"
CS-POLICY-000005,Claim Reported,2023-01-01T21:05:00Z,event_store,11,USR-086,"[""CS-POLICY-000005"",""CS-INSUREDPARTY-000005"",""CS-EVIDENCEDOCUMENT-000005""]"
CS-POLICY-000006,Claim Reported,2023-01-02T00:06:00Z,event_store,14,USR-103,"[""CS-POLICY-000006"",""CS-INSUREDPARTY-000006"",""CS-EVIDENCEDOCUMENT-000006""]"
CS-POLICY-000007,Claim Reported,2023-01-02T03:07:00Z,event_store,19,USR-120,"[""CS-POLICY-000007"",""CS-INSUREDPARTY-000007"",""CS-EVIDENCEDOCUMENT-000007""]"
CS-POLICY-000002,Policy Located,2023-01-02T06:05:00Z,event_store,21,USR-038,"[""CS-POLICY-000002"",""CS-EXPOSURE-000002"",""CS-FRAUDCASE-000002""]"
CS-POLICY-000003,Policy Located,2023-01-02T09:06:00Z,event_store,27,USR-055,"[""CS-POLICY-000003"",""CS-EXPOSURE-000003"",""CS-FRAUDCASE-000003""]"
CS-POLICY-000005,Claim Acknowledged,2023-01-02T09:07:00Z,event_store,28,USR-088,"[""CS-POLICY-000005"",""CS-INCIDENT-000005"",""CS-RESERVE-000005""]"
CS-POLICY-000009,Claim Reported,2023-01-02T09:09:00Z,event_store,31,USR-027,"[""CS-POLICY-000009"",""CS-INSUREDPARTY-000009"",""CS-EVIDENCEDOCUMENT-000009""]"
CS-POLICY-000004,Policy Located,2023-01-02T12:07:00Z,event_store,33,USR-072,"[""CS-POLICY-000004"",""CS-EXPOSURE-000004"",""CS-FRAUDCASE-000004""]"
CS-POLICY-000006,Claim Acknowledged,2023-01-02T12:08:00Z,event_store,34,USR-105,"[""CS-POLICY-000006"",""CS-INCIDENT-000006"",""CS-RESERVE-000006""]"
CS-POLICY-000008,Incident Registered,2023-01-02T12:09:00Z,event_store,36,USR-011,"[""CS-POLICY-000008"",""CS-CLAIM-000008"",""CS-ESTIMATE-000008""]"
CS-POLICY-000001,Coverage Confirmed,2023-01-02T15:06:00Z,event_store,38,USR-023,"[""CS-POLICY-000001"",""CS-ADJUSTERASSIGNMENT-000001"",""CS-PAYMENT-000001""]"
CS-POLICY-000007,Claim Acknowledged,2023-01-02T15:09:00Z,event_store,42,USR-122,"[""CS-POLICY-000007"",""CS-INCIDENT-000007"",""CS-RESERVE-000007""]"
CS-POLICY-000011,Claim Reported,2023-01-02T15:11:00Z,event_store,44,USR-061,"[""CS-POLICY-000011"",""CS-INSUREDPARTY-000011"",""CS-EVIDENCEDOCUMENT-000011""]"
CS-POLICY-000002,Coverage Confirmed,2023-01-02T18:07:00Z,event_store,46,USR-040,"[""CS-POLICY-000002"",""CS-ADJUSTERASSIGNMENT-000002"",""CS-PAYMENT-000002""]"
CS-POLICY-000010,Incident Registered,2023-01-02T18:11:00Z,event_store,51,USR-045,"[""CS-POLICY-000010"",""CS-CLAIM-000010"",""CS-ESTIMATE-000010""]"
CS-POLICY-000003,Coverage Confirmed,2023-01-02T21:08:00Z,event_store,53,USR-057,"[""CS-POLICY-000003"",""CS-ADJUSTERASSIGNMENT-000003"",""CS-PAYMENT-000003""]"
CS-POLICY-000009,Claim Acknowledged,2023-01-02T21:11:00Z,event_store,57,USR-029,"[""CS-POLICY-000009"",""CS-INCIDENT-000009"",""CS-RESERVE-000009""]"
CS-POLICY-000013,Claim Reported,2023-01-02T21:13:00Z,event_store,59,USR-095,"[""CS-POLICY-000013"",""CS-INSUREDPARTY-000013"",""CS-EVIDENCEDOCUMENT-000013""]"
CS-POLICY-000004,Coverage Confirmed,2023-01-03T00:09:00Z,event_store,62,USR-074,"[""CS-POLICY-000004"",""CS-ADJUSTERASSIGNMENT-000004"",""CS-PAYMENT-000004""]"
CS-POLICY-000012,Incident Registered,2023-01-03T00:13:00Z,event_store,67,USR-079,"[""CS-POLICY-000012"",""CS-CLAIM-000012"",""CS-ESTIMATE-000012""]"
CS-POLICY-000005,Coverage Confirmed,2023-01-03T03:10:00Z,event_store,71,USR-091,"[""CS-POLICY-000005"",""CS-ADJUSTERASSIGNMENT-000005"",""CS-PAYMENT-000005""]"
CS-POLICY-000011,Claim Acknowledged,2023-01-03T03:13:00Z,event_store,74,USR-063,"[""CS-POLICY-000011"",""CS-INCIDENT-000011"",""CS-RESERVE-000011""]"
CS-POLICY-000006,Coverage Confirmed,2023-01-03T06:11:00Z,event_store,79,USR-108,"[""CS-POLICY-000006"",""CS-ADJUSTERASSIGNMENT-000006"",""CS-PAYMENT-000006""]"
CS-POLICY-000008,Coverage Check Started,2023-01-03T06:12:00Z,event_store,81,USR-014,"[""CS-POLICY-000008"",""CS-DAMAGEITEM-000008"",""CS-REPAIRORDER-000008""]"
CS-POLICY-000016,Claim Reported,2023-01-03T06:16:00Z,event_store,86,USR-019,"[""CS-POLICY-000016"",""CS-INSUREDPARTY-000016"",""CS-EVIDENCEDOCUMENT-000016""]"
CS-POLICY-000007,Coverage Confirmed,2023-01-03T09:12:00Z,event_store,88,USR-125,"[""CS-POLICY-000007"",""CS-ADJUSTERASSIGNMENT-000007"",""CS-PAYMENT-000007""]"
CS-POLICY-000013,Claim Acknowledged,2023-01-03T09:15:00Z,event_store,92,USR-097,"[""CS-POLICY-000013"",""CS-INCIDENT-000013"",""CS-RESERVE-000013""]"
CS-POLICY-000015,Incident Registered,2023-01-03T09:16:00Z,event_store,93,USR-003,"[""CS-POLICY-000015"",""CS-CLAIM-000015"",""CS-ESTIMATE-000015""]"
CS-POLICY-000017,Claim Reported,2023-01-03T09:17:00Z,event_store,94,USR-036,"[""CS-POLICY-000017"",""CS-INSUREDPARTY-000017"",""CS-EVIDENCEDOCUMENT-000017""]"
CS-POLICY-000002,Exposure Classified,2023-01-03T12:10:00Z,event_store,96,USR-043,"[""CS-POLICY-000002"",""CS-ESTIMATE-000002"",""CS-COMPLAINT-000002""]"
CS-POLICY-000010,Coverage Check Started,2023-01-03T12:14:00Z,event_store,100,,"[""CS-POLICY-000010"",""CS-DAMAGEITEM-000010"",""CS-REPAIRORDER-000010""]"
CS-POLICY-000012,Policy Located,2023-01-03T12:15:00Z,event_store,101,USR-081,"[""CS-POLICY-000012"",""CS-EXPOSURE-000012"",""CS-FRAUDCASE-000012""]"
