case_id,activity,timestamp,source_table,source_record_id,actor,object_refs,primary_case_id
BV-SERVICEORDER-000004,State of Health Assessed,2023-01-24T15:54:00Z,sat_recall_status,sat_recall_status:BV-BATTERYPACK-000004:0002,BV-SERVICE-017,"[""BV-BATTERYPACK-000004"",""BV-DIAGNOSTICTEST-000004"",""BV-SERVICEORDER-000004""]",BV-BATTERYPACK-000004
BV-SERVICEORDER-000004,Service Order Opened,2023-01-26T07:22:00Z,sat_shipment_status,sat_shipment_status:BV-BATTERYPACK-000004:0001,BV-SERVICE-002,"[""BV-BATTERYPACK-000004"",""BV-SERVICEORDER-000004"",""BV-DIAGNOSTICTEST-000004""]",BV-BATTERYPACK-000004
BV-SERVICEORDER-000004,Service Started,2023-01-27T17:40:00Z,sat_second_life_status,sat_second_life_status:BV-BATTERYPACK-000004:0002,BV-SERVICE-005,"[""BV-BATTERYPACK-000004"",""BV-SERVICEORDER-000004"",""BV-DIAGNOSTICTEST-000004""]",BV-BATTERYPACK-000004
BV-SERVICEORDER-000004,Service Completed,2023-01-30T08:24:00Z,sat_incident_status,sat_incident_status:BV-BATTERYPACK-000004:0002,BV-SERVICE-014,"[""BV-BATTERYPACK-000004"",""BV-SERVICEORDER-000004"",""BV-DIAGNOSTICTEST-000004""]",BV-BATTERYPACK-000004
BV-SERVICEORDER-000007,Warranty Claim Opened,2023-01-23T08:19:00Z,sat_campaign_status,sat_campaign_status:BV-BATTERYPACK-000007:0002,BV-WARRANTY-007,"[""BV-BATTERYPACK-000007"",""BV-WARRANTYCLAIM-000007"",""BV-SERVICEORDER-000007""]",BV-BATTERYPACK-000007
BV-SERVICEORDER-000007,Warranty Claim Approved,2023-01-25T08:20:00Z,sat_claim_status,sat_claim_status:BV-BATTERYPACK-000007:0002,BV-WARRANTY-010,"[""BV-BATTERYPACK-000007"",""BV-WARRANTYCLAIM-000007"",""BV-SERVICEORDER-000007""]",BV-BATTERYPACK-000007
BV-SERVICEORDER-000008,State of Health Assessed,2023-02-03T08:25:00Z,sat_recall_status,sat_recall_status:BV-BATTERYPACK-000008:0002,BV-SERVICE-009,"[""BV-BATTERYPACK-000008"",""BV-DIAGNOSTICTEST-000008"",""BV-SERVICEORDER-000008""]",BV-BATTERYPACK-000008
BV-SERVICEORDER-000008,Service Order Opened,2023-02-06T08:26:00Z,sat_shipment_status,sat_shipment_status:BV-BATTERYPACK-000008:0001,BV-SERVICE-012,"[""BV-BATTERYPACK-000008"",""BV-SERVICEORDER-000008"",""BV-DIAGNOSTICTEST-000008""]",BV-BATTERYPACK-000008
BV-SERVICEORDER-000008,Service Started,2023-02-08T07:27:00Z,sat_second_life_status,sat_second_life_status:BV-BATTERYPACK-000008:0002,BV-SERVICE-015,"[""BV-BATTERYPACK-000008"",""BV-SERVICEORDER-000008"",""BV-DIAGNOSTICTEST-000008""]",BV-BATTERYPACK-000008
BV-SERVICEORDER-000008,Service Completed,2023-02-10T11:50:00Z,sat_incident_status,sat_incident_status:BV-BATTERYPACK-000008:0002,BV-SERVICE-006,"[""BV-BATTERYPACK-000008"",""BV-SERVICEORDER-000008"",""BV-DIAGNOSTICTEST-000008""]",BV-BATTERYPACK-000008
BV-SERVICEORDER-000012,State of Health Assessed,2023-02-06T12:05:00Z,sat_recall_status,sat_recall_status:BV-BATTERYPACK-000012:0002,BV-SERVICE-001,"[""BV-BATTERYPACK-000012"",""BV-DIAGNOSTICTEST-000012"",""BV-SERVICEORDER-000012""]",BV-BATTERYPACK-000012
BV-SERVICEORDER-000012,Service Order Opened,2023-02-06T15:57:00Z,sat_shipment_status,sat_shipment_status:BV-BATTERYPACK-000012:0001,BV-SERVICE-004,"[""BV-BATTERYPACK-000012"",""BV-SERVICEORDER-000012"",""BV-DIAGNOSTICTEST-000012""]",BV-BATTERYPACK-000012
BV-SERVICEORDER-000012,Service Started,2023-02-07T08:31:00Z,sat_second_life_status,sat_second_life_status:BV-BATTERYPACK-000012:0002,BV-SERVICE-007,"[""BV-BATTERYPACK-000012"",""BV-SERVICEORDER-000012"",""BV-DIAGNOSTICTEST-000012""]",BV-BATTERYPACK-000012
