case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
CELLBATCH-000001,Cell Batch Produced,2023-01-01T09:01:00Z,sat_pack_status,sat_pack_status:BV-CELLBATCH-000001:0001,USR-018,"[""BV-CELLBATCH-000001"",""BV-MODULE-000001"",""BV-FIRMWARECAMPAIGN-000001""]"
CELLBATCH-000002,Cell Batch Produced,2023-01-01T12:02:00Z,sat_pack_status,sat_pack_status:BV-CELLBATCH-000002:0001,USR-035,"[""BV-CELLBATCH-000002"",""BV-MODULE-000002"",""BV-FIRMWARECAMPAIGN-000002""]"
CELLBATCH-000003,Cell Batch Produced,2023-01-01T15:03:00Z,sat_pack_status,sat_pack_status:BV-CELLBATCH-000003:0001,USR-052,"[""BV-CELLBATCH-000003"",""BV-MODULE-000003"",""BV-FIRMWARECAMPAIGN-000003""]"
CELLBATCH-000004,Cell Batch Produced,2023-01-01T18:04:00Z,sat_pack_status,sat_pack_status:BV-CELLBATCH-000004:0001,USR-069,"[""BV-CELLBATCH-000004"",""BV-MODULE-000004"",""BV-FIRMWARECAMPAIGN-000004""]"
CELLBATCH-000001,Module Assembled,2023-01-01T21:03:00Z,sat_passport_data,sat_passport_data:BV-CELLBATCH-000001:0001,USR-020,"[""BV-CELLBATCH-000001"",""BV-BATTERYPASSPORT-000001"",""BV-RECALLCAMPAIGN-000001""]"
CELLBATCH-000005,Cell Batch Produced,2023-01-01T21:05:00Z,sat_pack_status,sat_pack_status:BV-CELLBATCH-000005:0001,USR-086,"[""BV-CELLBATCH-000005"",""BV-MODULE-000005"",""BV-FIRMWARECAMPAIGN-000005""]"
CELLBATCH-000002,Module Tested,2023-01-02T06:05:00Z,sat_diagnostic_result,sat_diagnostic_result:BV-CELLBATCH-000002:0001,USR-038,"[""BV-CELLBATCH-000002"",""BV-VEHICLE-000002"",""BV-SHIPMENT-000002""]"
CELLBATCH-000003,Module Tested,2023-01-02T09:06:00Z,sat_diagnostic_result,sat_diagnostic_result:BV-CELLBATCH-000003:0001,USR-055,"[""BV-CELLBATCH-000003"",""BV-VEHICLE-000003"",""BV-SHIPMENT-000003""]"
CELLBATCH-000005,Module Assembled,2023-01-02T09:07:00Z,sat_passport_data,sat_passport_data:BV-CELLBATCH-000005:0001,USR-088,"[""BV-CELLBATCH-000005"",""BV-BATTERYPASSPORT-000005"",""BV-RECALLCAMPAIGN-000005""]"
CELLBATCH-000004,Module Tested,2023-01-02T12:07:00Z,sat_diagnostic_result,sat_diagnostic_result:BV-CELLBATCH-000004:0001,USR-072,"[""BV-CELLBATCH-000004"",""BV-VEHICLE-000004"",""BV-SHIPMENT-000004""]"
CELLBATCH-000006,Module Assembled,2023-01-02T12:08:00Z,sat_passport_data,sat_passport_data:BV-CELLBATCH-000006:0001,USR-105,"[""BV-CELLBATCH-000006"",""BV-BATTERYPASSPORT-000006"",""BV-RECALLCAMPAIGN-000006""]"
CELLBATCH-000008,Cell Batch Released,2023-01-02T12:09:00Z,sat_pack_test,sat_pack_test:BV-CELLBATCH-000008:0001,USR-011,"[""BV-CELLBATCH-000008"",""BV-BATTERYPACK-000008"",""BV-WARRANTYCLAIM-000008""]"
CELLBATCH-000001,Battery Pack Assembled,2023-01-02T15:06:00Z,sat_campaign_status,sat_campaign_status:BV-CELLBATCH-000001:0001,USR-023,"[""BV-CELLBATCH-000001"",""BV-SERVICEORDER-000001"",""BV-SECONDLIFESYSTEM-000001""]"
CELLBATCH-000007,Module Assembled,2023-01-02T15:09:00Z,sat_passport_data,sat_passport_data:BV-CELLBATCH-000007:0001,USR-122,"[""BV-CELLBATCH-000007"",""BV-BATTERYPASSPORT-000007"",""BV-RECALLCAMPAIGN-000007""]"
CELLBATCH-000002,Battery Pack Assembled,2023-01-02T18:07:00Z,sat_campaign_status,sat_campaign_status:BV-CELLBATCH-000002:0001,USR-040,"[""BV-CELLBATCH-000002"",""BV-SERVICEORDER-000002"",""BV-SECONDLIFESYSTEM-000002""]"
CELLBATCH-000010,Cell Batch Released,2023-01-02T18:11:00Z,sat_pack_test,sat_pack_test:BV-CELLBATCH-000010:0001,USR-045,"[""BV-CELLBATCH-000010"",""BV-BATTERYPACK-000010"",""BV-WARRANTYCLAIM-000010""]"
CELLBATCH-000012,Cell Batch Produced,2023-01-02T18:12:00Z,sat_pack_status,sat_pack_status:BV-CELLBATCH-000012:0001,USR-078,"[""BV-CELLBATCH-000012"",""BV-MODULE-000012"",""BV-FIRMWARECAMPAIGN-000012""]"
CELLBATCH-000003,Battery Pack Assembled,2023-01-02T21:08:00Z,sat_campaign_status,sat_campaign_status:BV-CELLBATCH-000003:0001,USR-057,"[""BV-CELLBATCH-000003"",""BV-SERVICEORDER-000003"",""BV-SECONDLIFESYSTEM-000003""]"
CELLBATCH-000009,Module Assembled,2023-01-02T21:11:00Z,sat_passport_data,sat_passport_data:BV-CELLBATCH-000009:0001,USR-029,"[""BV-CELLBATCH-000009"",""BV-BATTERYPASSPORT-000009"",""BV-RECALLCAMPAIGN-000009""]"
CELLBATCH-000004,Battery Pack Assembled,2023-01-03T00:09:00Z,sat_campaign_status,sat_campaign_status:BV-CELLBATCH-000004:0001,USR-074,"[""BV-CELLBATCH-000004"",""BV-SERVICEORDER-000004"",""BV-SECONDLIFESYSTEM-000004""]"
CELLBATCH-000006,Module Failed Test,2023-01-03T00:10:00Z,sat_service_status,sat_service_status:BV-CELLBATCH-000006:0001,USR-107,"[""BV-CELLBATCH-000006"",""BV-OWNER-000006"",""BV-WAREHOUSE-000006""]"
CELLBATCH-000008,Module Tested,2023-01-03T00:11:00Z,sat_diagnostic_result,sat_diagnostic_result:BV-CELLBATCH-000008:0001,USR-013,"[""BV-CELLBATCH-000008"",""BV-VEHICLE-000008"",""BV-SHIPMENT-000008""]"
CELLBATCH-000005,Battery Pack Assembled,2023-01-03T03:10:00Z,sat_campaign_status,sat_campaign_status:BV-CELLBATCH-000005:0001,USR-091,"[""BV-CELLBATCH-000005"",""BV-SERVICEORDER-000005"",""BV-SECONDLIFESYSTEM-000005""]"
CELLBATCH-000007,Module Failed Test,2023-01-03T03:11:00Z,sat_service_status,sat_service_status:BV-CELLBATCH-000007:0001,USR-124,"[""BV-CELLBATCH-000007"",""BV-OWNER-000007"",""BV-WAREHOUSE-000007""]"
CELLBATCH-000011,Module Assembled,2023-01-03T03:13:00Z,sat_passport_data,sat_passport_data:BV-CELLBATCH-000011:0001,USR-063,"[""BV-CELLBATCH-000011"",""BV-BATTERYPASSPORT-000011"",""BV-RECALLCAMPAIGN-000011""]"
CELLBATCH-000015,Cell Batch Produced,2023-01-03T03:15:00Z,sat_pack_status,sat_pack_status:BV-CELLBATCH-000015:0001,USR-002,"[""BV-CELLBATCH-000015"",""BV-MODULE-000015"",""BV-FIRMWARECAMPAIGN-000015""]"
CELLBATCH-000010,Module Tested,2023-01-03T06:13:00Z,sat_diagnostic_result,sat_diagnostic_result:BV-CELLBATCH-000010:0001,USR-047,"[""BV-CELLBATCH-000010"",""BV-VEHICLE-000010"",""BV-SHIPMENT-000010""]"
CELLBATCH-000014,Cell Batch Released,2023-01-03T06:15:00Z,sat_pack_test,sat_pack_test:BV-CELLBATCH-000014:0001,USR-113,"[""BV-CELLBATCH-000014"",""BV-BATTERYPACK-000014"",""BV-WARRANTYCLAIM-000014""]"
CELLBATCH-000009,Module Failed Test,2023-01-03T09:13:00Z,sat_service_status,sat_service_status:BV-CELLBATCH-000009:0001,USR-031,"[""BV-CELLBATCH-000009"",""BV-OWNER-000009"",""BV-WAREHOUSE-000009""]"
CELLBATCH-000013,Module Assembled,2023-01-03T09:15:00Z,sat_passport_data,sat_passport_data:BV-CELLBATCH-000013:0001,USR-097,"[""BV-CELLBATCH-000013"",""BV-BATTERYPASSPORT-000013"",""BV-RECALLCAMPAIGN-000013""]"
CELLBATCH-000002,Battery Pack Failed Test,2023-01-03T12:10:00Z,sat_shipment_status,sat_shipment_status:BV-CELLBATCH-000002:0001,USR-043,"[""BV-CELLBATCH-000002"",""BV-WARRANTYCLAIM-000002"",""BV-CERTIFICATE-000002""]"
CELLBATCH-000012,Module Tested,2023-01-03T12:15:00Z,sat_diagnostic_result,sat_diagnostic_result:BV-CELLBATCH-000012:0001,USR-081,"[""BV-CELLBATCH-000012"",""BV-VEHICLE-000012"",""BV-SHIPMENT-000012""]"
CELLBATCH-000011,Module Failed Test,2023-01-03T15:15:00Z,sat_service_status,sat_service_status:BV-CELLBATCH-000011:0001,USR-065,"[""BV-CELLBATCH-000011"",""BV-OWNER-000011"",""BV-WAREHOUSE-000011""]"
CELLBATCH-000017,Cell Batch Released,2023-01-03T15:18:00Z,sat_pack_test,sat_pack_test:BV-CELLBATCH-000017:0001,USR-037,"[""BV-CELLBATCH-000017"",""BV-BATTERYPACK-000017"",""BV-WARRANTYCLAIM-000017""]"
CELLBATCH-000019,Cell Batch Produced,2023-01-03T15:19:00Z,sat_pack_status,sat_pack_status:BV-CELLBATCH-000019:0001,USR-070,"[""BV-CELLBATCH-000019"",""BV-MODULE-000019"",""BV-FIRMWARECAMPAIGN-000019""]"
CELLBATCH-000004,Battery Pack Failed Test,2023-01-03T18:12:00Z,sat_shipment_status,sat_shipment_status:BV-CELLBATCH-000004:0001,USR-077,"[""BV-CELLBATCH-000004"",""BV-WARRANTYCLAIM-000004"",""BV-CERTIFICATE-000004""]"
